Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,,,,,,,,
619,Airport,1,Trip Completed,42562.49,42562.54,11.00,,,,Row Labels,Sum of Request id,,Row Labels,Sum of Driver id
867,Airport,1,Trip Completed,42562.75,42562.78,17.00,,,,Airport,11188750,,Cancelled,192289
1807,City,1,Trip Completed,42563.39,42563.42,9.00,,,,City,11640680,,No Cars Available,
2532,Airport,1,Trip Completed,42563.88,42563.92,21.00,,,,Grand Total,22829430,,Trip Completed,419919
3112,City,1,Trip Completed,42564.36,42564.39,8.00,,,,,,,(blank),
3879,Airport,1,Trip Completed,42564.91,42564.94,21.00,,,,,,,Grand Total,612208
4270,Airport,1,Trip Completed,42565.26,42565.30,6.00,,,,Row Labels,Sum of Request id,,,
5510,Airport,1,Trip Completed,42566.22,42566.26,5.00,,,,Cancelled,3949069,,,
6248,City,1,Trip Completed,42566.75,42566.79,17.00,,,,No Cars Available,9501514,,,
267,City,2,Trip Completed,42562.28,42562.31,6.00,,,,Trip Completed,9378847,,,
1467,Airport,2,Trip Completed,42563.21,42563.25,5.00,,,,(blank),,,,
1983,City,2,Trip Completed,42563.52,42563.54,12.00,,,,Grand Total,22829430,,,
2784,Airport,2,Trip Completed,42564.20,42564.22,4.00,,,,,,,,
3075,City,2,Trip Completed,42564.34,42564.39,8.00,,,,Row Labels,Sum of Request id,,,
3379,City,2,Trip Completed,42564.60,42564.65,14.00,,,,0,329110,,,
3482,Airport,2,Trip Completed,42564.72,42564.76,17.00,,,,1,248182,,,
4652,City,2,Trip Completed,42565.50,42565.53,12.00,,,,2,300236,,,
5335,Airport,2,Trip Completed,42565.93,42565.97,22.00,,,,3,264025,,,
535,Airport,3,Trip Completed,42562.42,42562.44,10.00,,,,4,560839,,,
960,Airport,3,Trip Completed,42562.78,42562.81,18.00,,,,5,1290110,,,
1934,Airport,3,Trip Completed,42563.47,42563.52,11.00,,,,6,1098424,,,
2083,Airport,3,Trip Completed,42563.66,42563.69,15.00,,,,7,1270643,,,
2211,Airport,3,Trip Completed,42563.75,42563.77,18.00,,,,8,1346258,,,
3096,Airport,3,Trip Completed,42564.35,42564.39,8.00,,,,9,1306800,,,
3881,Airport,3,Trip Completed,42564.91,42564.95,21.00,,,,10,813903,,,
5254,City,3,Trip Completed,42565.89,42565.93,21.00,,,,11,527757,,,
5434,City,3,Trip Completed,42566.11,42566.14,2.00,,,,12,582650,,,
5916,City,3,Trip Completed,42566.42,42566.45,10.00,,,,13,562082,,,
669,City,4,Trip Completed,42562.55,42562.58,13.00,,,,14,466617,,,
1567,Airport,4,Trip Completed,42563.26,42563.30,6.00,,,,15,604013,,,
1826,City,4,Trip Completed,42563.39,42563.44,9.00,,,,16,527995,,,
2102,City,4,Trip Completed,42563.67,42563.71,16.00,,,,17,1447926,,,
2847,Airport,4,Trip Completed,42564.23,42564.26,5.00,,,,18,1859662,,,
3722,Airport,4,Trip Completed,42564.83,42564.86,19.00,,,,19,1732222,,,
4075,City,4,Trip Completed,42565.10,42565.14,2.00,,,,20,1901818,,,
4686,City,4,Trip Completed,42565.54,42565.57,13.00,,,,21,1735702,,,
5771,Airport,4,Trip Completed,42566.35,42566.40,8.00,,,,22,1242665,,,
6106,Airport,4,Trip Completed,42566.63,42566.66,15.00,,,,23,809791,,,
312,City,5,Trip Completed,42562.31,42562.35,7.00,,,,(blank),,,,
577,Airport,5,Trip Completed,42562.46,42562.50,11.00,,,,Grand Total,22829430,,,
1179,City,5,Trip Completed,42562.87,42562.91,20.00,,,,,,,,
1756,Airport,5,Trip Completed,42563.36,42563.39,8.00,,,,,,,,
2052,City,5,Trip Completed,42563.62,42563.66,14.00,,,,,,,,
2559,City,5,Trip Completed,42563.90,42563.94,21.00,,,,,,,,
3014,City,5,Trip Completed,42564.31,42564.35,7.00,,,,,,,,
3317,City,5,Trip Completed,42564.51,42564.53,12.00,,,,,,,,
4297,City,5,Trip Completed,42565.28,42565.33,6.00,,,,,,,,
5857,Airport,5,Trip Completed,42566.38,42566.42,9.00,,,,,,,,
6690,Airport,5,Trip Completed,42566.95,42566.99,22.00,,,,,,,,
1517,Airport,6,Trip Completed,42563.24,42563.27,5.00,,,,,,,,
1999,Airport,6,Trip Completed,42563.54,42563.58,13.00,,,,,,,,
2960,Airport,6,Trip Completed,42564.29,42564.32,6.00,,,,,,,,
3882,City,6,Trip Completed,42564.91,42564.95,21.00,,,,,,,,
4081,Airport,6,Trip Completed,42565.11,42565.15,2.00,,,,,,,,
4740,City,6,Trip Completed,42565.62,42565.65,14.00,,,,,,,,
5270,City,6,Trip Completed,42565.90,42565.93,21.00,,,,,,,,
6758,Airport,6,Trip Completed,42566.00,42566.05,0.00,,,,,,,,
5741,City,6,Trip Completed,42566.33,42566.36,7.00,,,,,,,,
6087,Airport,6,Trip Completed,42566.60,42566.65,14.00,,,,,,,,
1039,City,7,Trip Completed,42562.81,42562.86,19.00,,,,,,,,
1273,Airport,7,Trip Completed,42562.92,42562.97,22.00,,,,,,,,
2480,City,7,Trip Completed,42563.86,42563.89,20.00,,,,,,,,
4105,City,7,Trip Completed,42565.15,42565.19,3.00,,,,,,,,
4509,City,7,Trip Completed,42565.38,42565.43,9.00,,,,,,,,
4986,Airport,7,Trip Completed,42565.79,42565.83,18.00,,,,,,,,
5898,City,7,Trip Completed,42566.41,42566.44,9.00,,,,,,,,
6142,Airport,7,Trip Completed,42566.66,42566.69,15.00,,,,,,,,
380,Airport,8,Trip Completed,42562.35,42562.39,8.00,,,,,,,,
1050,Airport,8,Trip Completed,42562.82,42562.85,19.00,,,,,,,,
1769,City,8,Trip Completed,42563.37,42563.39,8.00,,,,,,,,
2520,City,8,Trip Completed,42563.88,42563.93,21.00,,,,,,,,
3265,Airport,8,Trip Completed,42564.43,42564.46,10.00,,,,,,,,
4648,City,8,Trip Completed,42565.50,42565.54,11.00,,,,,,,,
449,Airport,9,Trip Completed,42562.38,42562.41,9.00,,,,,,,,
846,Airport,9,Trip Completed,42562.74,42562.79,17.00,,,,,,,,
1346,Airport,9,Trip Completed,42562.99,42563.02,23.00,,,,,,,,
1474,Airport,9,Trip Completed,42563.22,42563.25,5.00,,,,,,,,
2240,City,9,Trip Completed,42563.76,42563.79,18.00,,,,,,,,
3072,Airport,9,Trip Completed,42564.34,42564.36,8.00,,,,,,,,
